term,category_label
plague,Vector-borne & Zoonotic Diseases
onchocerciasis,Vector-borne & Zoonotic Diseases
river blindness,Vector-borne & Zoonotic Diseases
lymphatic filariasis,Vector-borne & Zoonotic Diseases
sleeping sickness,Vector-borne & Zoonotic Diseases
trypanosomiasis,Vector-borne & Zoonotic Diseases
american trypanosomiasis,Vector-borne & Zoonotic Diseases
chagas disease,Vector-borne & Zoonotic Diseases
ross river fever,Vector-borne & Zoonotic Diseases
ross river virus,Vector-borne & Zoonotic Diseases
barmah forest virus,Vector-borne & Zoonotic Diseases
leishmaniasis,Vector-borne & Zoonotic Diseases
schistosomiasis,Vector-borne & Zoonotic Diseases
bilharziasis,Vector-borne & Zoonotic Diseases
tungiasis,Vector-borne & Zoonotic Diseases
salmonella,Food & Waterborne Illnesses
salmonellosis,Food & Waterborne Illnesses
campylobacter,Food & Waterborne Illnesses
campylobacteriosis,Food & Waterborne Illnesses
shigella,Food & Waterborne Illnesses
shigellosis,Food & Waterborne Illnesses
giardia,Food & Waterborne Illnesses
giardiasis,Food & Waterborne Illnesses
cryptosporidium,Food & Waterborne Illnesses
cryptosporidiosis,Food & Waterborne Illnesses
legionella,Food & Waterborne Illnesses
legionellosis,Food & Waterborne Illnesses
vibrio bacteria,Food & Waterborne Illnesses
food-borne disease,Food & Waterborne Illnesses
food-borne diseases,Food & Waterborne Illnesses
food-borne pathogens,Food & Waterborne Illnesses
waterborne disease,Food & Waterborne Illnesses
waterborne diseases,Food & Waterborne Illnesses
aflatoxin,Food & Waterborne Illnesses
mycotoxins,Food & Waterborne Illnesses
arsenic,Food & Waterborne Illnesses
botulism,Food & Waterborne Illnesses
ciguatera,Food & Waterborne Illnesses
poisoning,Food & Waterborne Illnesses
bacteria,Pathogens & Microbiology
virus,Pathogens & Microbiology
viral infection,Pathogens & Microbiology
parasite,Pathogens & Microbiology
protozoa,Pathogens & Microbiology
prion,Pathogens & Microbiology
toxins,Pathogens & Microbiology
